Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
32,3.511727095,3.975656748,4.137492657,5.097044945,4.606142044,3.730205774,1.934446,1.441935062,5.532860756,3.152612925,1.08,12.36755276,1.889652252,4.245527267
32.5,3.544094324,3.980376959,4.143561363,5.106485367,4.625697613,3.742343426,1.89239,1.447948933,5.576963902,3.153281212,1.07,12.32946396,1.90568924,4.252202988
33,3.553534746,3.989143133,4.155025005,5.119971275,4.645927429,3.727508307,1.857009,1.451290131,5.615721703,3.171991825,1.12,12.34817314,1.907693863,4.247529984
33.5,3.56499815,3.995886326,4.1658144,5.129411697,4.668179512,3.792243004,1.81562,1.456636429,5.649133205,3.574268341,1.12,12.34884262,1.922395229,4.261548519
34,3.569044113,4.003977776,4.174580097,5.136829376,4.679642677,3.897436142,1.780908,1.462650299,5.667175293,3.870295763,1.06,12.34550095,2.001247406,4.275567055
34.5,3.577135801,4.01274395,4.182672024,5.141549587,4.694478035,4.041739941,1.757544,1.467328548,5.6959095,3.895688772,1.11,12.34483242,2.231786728,4.276902199
35,3.587250471,4.024207592,4.187392235,5.14289856,4.712684631,4.135469437,1.727504,1.468664169,5.722639084,3.897693157,1.03,12.34817314,2.295269489,4.285580635
35.5,3.600736856,4.031624794,4.193460941,5.147618294,4.751794815,4.22110796,1.712149,1.471337795,5.745358944,3.901702642,1.11,12.34884262,2.620699406,4.290253639
36,3.620966196,4.041739941,4.196158409,5.144247055,4.803042889,4.287190914,1.710147,1.474010468,5.78946209,3.918408632,1.08,12.35686111,2.680171967,4.298264027
36.5,3.632429838,4.051180363,4.201552391,5.138177872,4.882612228,4.339787483,1.709479,1.478020191,5.832897186,3.926427126,1.13,12.35953331,2.704228401,4.308944702
37,3.635127068,4.063318253,4.205598831,5.135480881,4.939929008,4.388338089,1.708144,1.480024338,5.87432766,3.93310976,1.06,12.39294434,2.6654706,4.318958282
37.5,3.637150049,4.07208395,4.207621574,5.124691963,4.974993706,4.461838722,1.704139,1.48269701,5.927786827,3.936450958,1.16,12.35819626,2.572586536,4.327636719
38,3.639847279,4.079501152,4.21301651,5.122668743,5.012081146,4.523201466,1.69546,1.484702587,5.98391819,3.94446969,1.17,12.36087036,2.570581436,4.338317871
38.5,3.645916224,4.088941574,4.220433235,5.120646,5.04107666,4.56905508,1.688785,1.486038208,6.020002842,3.948478937,1.15,12.35552406,2.567908764,4.342322826
39,3.658728123,4.097033501,4.236617088,5.125366211,5.038379192,4.623674393,1.686115,1.488043785,6.063437939,3.954493046,1.19,12.35619259,2.568576813,4.348998547
39.5,3.680306196,4.099731445,4.242686272,5.131434917,5.045796871,4.669528008,1.685447,1.490047932,6.149640083,3.958502769,1.12,12.35485649,2.472351074,4.346995354
40,3.705255985,4.106473923,4.252800941,5.139526367,5.054562569,4.724147797,1.680775,1.492053032,6.263239861,3.9698627,1.16,12.35619259,2.556549072,4.356341362
40.5,3.716045141,4.107822895,4.257521152,5.138177872,5.057260036,4.770001411,1.677437,1.496729851,6.353451252,3.976544857,1.17,12.35686111,2.656115532,4.368357658
41,3.728182793,4.115240097,4.264938354,5.142223835,5.062654495,4.801693916,1.678104,1.500071049,6.424283981,3.977881193,1.20,12.35819626,2.519795895,4.373698235
